text,label
congress is already setting the stage to cut off u s funding to the united nations in the wake of a contested vote last week in which the obama administration permitted an anti israel resolution to win overwhelming approval according to congressional leaders who told the washington free beacon that the current administration is already plotting to take further action against the jewish state before vacating office other punitive actions by congress could include expelling palestinian diplomats from u s soil and scaling back ties with foreign nations that voted in favor of the controversial measure according to multiple sources who spoke to the free beacon about the situation both on and off the record the obama administration is still under bipartisan attack for its decision to help craft and facilitate the passage of a u n resolution condemning the construction of jewish homes in jerusalem a move that reversed years of u s policy on the matter the free beacon was the first to disclose on monday that senior obama administration officials played a key role in ensuring the measure was passed unanimously by the u n security council this included a phone call by vice president joe biden to ukraine s president to ensure that country voted in favor of the measure while biden s office continues to dispute the claim reporters in israel and europe confirmed in the intervening days that the call between biden and ukrainian president petro poroshenko did in fact take place with anger over the issue still roiling leading members of congress told the free beacon on wednesday that they will not delay in seeking retribution against the u n for the vote this could include cutting off u s funding for the u n and stripping the palestinian mission s diplomatic privileges lawmakers also will work to rebuff further attempts by the obama administration to chastise israel on the international stage this would include freezing funds that could be spent by the administration on further u n action the disgraceful anti israel resolution passed by the unsc was apparently only the opening salvo in the obama administration s final assault on israel sen ted cruz r texas told the free beacon president obama secretary kerry ambassador power and their colleagues should remember that the united states congress reconvenes on january 3rd and under the constitution we control the taxpayer funds they would use for their anti israel initiatives the 115th congress must stop the current administration s vicious attack on our great ally israel and address the major priorities of the incoming administration cruz said expressing his desire to work with the incoming trump administration to reset the u s relationship with israel senior congressional sources currently working on the issue further disclosed to the free beacon that lawmakers on both sides of the aisle are in an uproar over the obama administration which they accuse of plotting behind closed doors to smear israel not content with spending the last eight years using the united nations to undermine american sovereignty the obama administration has finally trained their sights on israel and is trying to exploit this unelected and unaccountable international body to impose their resolution of the palestinian issue on israel one senior congressional aide told the free beacon enough is enough while the trump administration will not take office until the end of january congress will be working overtime before then to stop the obama administration from further damaging the u s israel relationship according to the source who hinted that a full cut off of u s funding to the u n currently is on the table a new administration will arrive on january 20th but in the intervening weeks congress has an important role mitigating the damage president obama can do in his final hours the source said why on earth would we throw good taxpayer dollars after bad in support of the un which has proven itself again and again utterly unable to encourage any positive progress just take syria if they were doing anything over the last five years it should have been working out a fair and equitable adjudication of the syrian war instead they ve proven themselves utterly useless in fact they ve probably made a gut wrenching catastrophe worse the source explained there s no reason to think this action will turn out any more favorably for entire story wfb,fake
during the 2016 presidential campaign president donald trump made a lot of promises on immigration he was going to build a wall between the united states and mexico that mexico would fund he was going to keep muslims from coming into the country lastly he was going to cut funding to sanctuary cities now it looks like none of that is going to happen the travel bans have been struck down the border wall is never going to happen now a federal court has ruled against taking funding away from sanctuary cities sanctuary cities are those that refuse to work with immigration and customs enforcement ice to deport undocumented immigrants who report crimes it s important to note that lacking documentation is a civil offense not a criminal one this is the second of trump s main policy initiatives to be struck down because it violates the u s constitution both san francisco and santa clara county won orders squashing an executive order signed by trump on january 25 2017 to halt funding to any cities who refuse to deport undocumented immigrants for minor offenses the president has said these cities can cause immeasurable harm to the american people and to the very fabric of our republic u s district judge william orrick did not see it that way he sided with san francisco and santa clara county while trump wants to appear powerful it is clear that he is not aware of what limits there are on presidential power the president does not decide how federal funds are spent that s congress s job the budget that is submitted by the white house every year is simply a wish list of what the president would like to see federal money spent on congress is under no obligation to follow the budget by the same token once funds have been allocated for a program a president cannot just block that funding because it suits his or her objectives the white house promises to appeal the decision and chief of staff reince priebus has said that the courts in california are going bananas he added the idea that an agency can t put in some reasonable restriction on how some of these monies are spent is something that will be overturned eventually and we ll win at the supreme court level at some point for its part the department of justice assets that federal agencies are still allowed to act against any cities or towns that violate or ignore federal immigration laws department spokesman ian prior said the court upheld the government s ability to use lawful means to enforce existing conditions of federal grants ian prior said in an emailed statement the ruling is not just a victory for these two jurisdictions its impact will be felt in sanctuary cities and jurisdictions across the nation cities such as new york chicago and los angeles this ruling is also giving energy to californians who want to be seen as leading the resistance against the trump administration the californian state senate put through the california values act this would turn the entire state into a sanctuary zone,fake
let this sink in the word has been out for some time now that the us borders are open now we have the president of panama giving an even bigger free pass to anyone to come to america we are going to be europe soon obama is making sure of it panama promised to help hundreds of migrants who have crossed its jungle border from colombia to carry on toward the united states president juan carlos varela on tuesday said panama would make an exception to its immigration restrictions for migrants who have recently crossed into panama s darien jungle the border will remain closed to irregular migrants but those that are using these points to cross and have already reached our territory will be given humanitarian assistance so they can continue on their way he said panama will not allow anyone who has crossed into our country to die on our territory he added in a public speech around 800 us bound migrants most of them from haiti africa asia and cuba are in dense jungle on the panama colombia border varela said friday he described it as another migration crisis a further 2 500 are stranded in panama s northern neighbor costa rica since the next country on the trail nicaragua has tightened immigration controls colombian authorities say they have deported thousands of migrants trying to reach panama from its northern territory varela said last week that many of the migrants were haitians who had gone to brazil after a 2010 earthquake devastated their country brazil s current deep recession has driven them to try to get to the united states through central america via france24,fake
another great move by the trump administration they were proactive in securing the release of aya hijazi hijazi s release was negotiated with egypt by president trump and his aides they worked for several weeks with egyptian president abdel fatah al sissi pictured above to secure the freedom of aya hijazi 30 a u s citizen as well as her husband mohamed hassanein who is egyptian and four other humanitarian workers trump dispatched a u s government aircraft to cairo to bring hijazi and her family to washington the obama administration unsuccessfully pressed sissi s government for their release it was not until trump moved to reset u s relations with egypt by embracing sissi at the white house on april 3 he publicly hailed the autocrat s leadership as fantastic and offered the u s government s strong backing that egypt s posture changed last sunday a court in cairo dropped all charges against hijazi and the others video the moment of aya hijazi and her co defendants acquittal video the moment of aya hijazi and her co defendants acquittal pic twitter com frb6ombu2x egypt mai el sadany maitelsadany april 16 2017 hijazi co founded the belady foundation in 2013 with her husband mohamed hassanein shortly after graduating from george mason university the cairo based ngo provided resources and counseling to abandoned or runaway children in may 2014 authorities detained hijazi mohammad and six others volunteers with the organization on accusations that they physically and sexually abused these children and included the children in anti government protests they had been held in pre trial detention ever since throughout the course of their detention hearings were adjourned before they began over six times the verdict was originally scheduled for march just before egyptian president abul fattah el sisi s first meeting with president donald trump in washington read more pbs,fake
president elect donald j trump s transition staff has issued a blanket edict requiring politically appointed ambassadors to leave their overseas posts by inauguration day according to several american diplomats familiar with the plan breaking with decades of precedent by declining to provide even the briefest of grace periods the mandate issued without exceptions according to a terse state department cable sent on dec 23 diplomats who saw it said threatens to leave the united states without senate confirmed envoys for months in critical nations like germany canada and britain in the past administrations of both parties have often granted extensions on a case by case basis to allow a handful of ambassadors particularly those with school age children to remain in place for weeks or months mr trump by contrast has taken a hard line against leaving any of president obama s political appointees in place as he prepares to take office on jan 20 with a mission of dismantling many of his predecessor s signature foreign and domestic policy achievements political ambassadors many of them major donors who are nominated by virtue of close ties with the president almost always leave at the end of his term ambassadors who are career diplomats often remain in their posts a senior trump transition official said there was no ill will in the move describing it as a simple matter of ensuring that mr obama s overseas appointees leave the government on schedule just as thousands of political aides at the white house and in federal agencies must do the official who spoke on the condition of anonymity about internal deliberations said the ambassadors should not be surprised about being held to a hard end date nyt s,fake
local residents supported the flag but national groups said they had received complaints about the flag so this one is a good case of separation of church and state debate away a month after a north georgia county caught hell for raising the confederate battle flag over its courthouse another flag controversy has engulfed a small middle georgia town only this time it has nothing to do with the civil war a traditional christian flag flying over cochran will come down friday after city officials bowed last week to threats of legal action and concerns over its impact on the city s fiscal resources the controversy began early last month when the cochran city council voted against the advice of its attorney to fly the flag at city hall to help promote a local bible reading marathon sponsored by the international bible reading association while city officials have said local residents supported the decision national groups including the d c based americans united for separation of church and state said they have received several complaints over the matter the group recently sent letters to both the city and bleckley county which has flown the flag in the past declaring that flying the christian flag on public property violates the first amendment the group in part cited a recent legal case in which a north carolina city agreed to stop displaying the christian flag which includes a latin cross at a government sponsored veterans memorial in a statement on its website the city said it has decided to take the flag down after reviewing further input from the community detailed written legal opinions from our city attorney and a second legal opinion from a constitutional lawyer in the future the city said it would only fly the u s and state flags at city hall via ajc,fake
the new cold war between saudi arabia and iran has been going on for a while but has now escalated to a critical stage it would be great if our president would take a stand and make his position known to the american public but we re not dealing with just any president we re dealing with barack hussein obama the guy who buddies up to terrorist and communist nations we re talking about a president who treats our enemies like friends and many of our allies like enemies pay attention to this very important situation in the middle east it could get very ugly as the cold war between iran and saudi arabia heats up the barack obama administration is trying to straddle the fence and not take sides but its actions tell a different story they all seem to favor tehran following the saudi government s announcement saturday that it had executed 47 prisoners including a popular shiite cleric the u s state department did two things first it issued a statement expressing concern that riyadh s actions were exacerbating sectarian tensions then secretary of state john kerry called iranian foreign minister javad zarif urging him to try to de escalate the crisis spokesmen for the white house and state department on monday insisted that the u s was not taking a side and that kerry was set to call saudi foreign minister adel al jubeir but u s and arab diplomats tell us that america s gulf allies who feel most threatened by iran see things very differently the state department has criticized saudi arabia before for executions and its human rights record but this time its spokesman john kirby undermined the saudi claim that iran s government was culpable for the attacks on its embassy noting in his opening statement that iran appears to have arrested some of those responsible what s more the saudis argue that this time the u s criticism went too far because the cleric nimr al nimr was inciting terrorism we do not accept any criticism of the kingdom s judicial system al jubeir said sunday what happened was that those who have led terrorist operations that led to the killing of innocent people were convicted following saudi arabia s decision sunday to cut diplomatic ties and end iran bound commercial flights bahrain sudan and the united arab emirates also downgraded relations one senior gulf diplomat told us he expected other sunni arab states would follow suit at the root of the problem for sunni arab states is the nuclear deal reached last summer by iran and western nations when the white house sold the pact to congress and middle eastern allies its message was clear nothing in the deal would prevent the u s from sanctioning iran for non nuclear issues yet that has not been the case last week the treasury department balked at the last moment on sanctioning 11 entities and individuals it deemed responsible for helping the iranian government develop its ballistic missile program in violation of united nations sanctions treasury officials had told lawmakers the new sanctions would be announced dec 30 but then the announcement never came hill staffers briefed on the issue said that the state department had intervened at the last minute following objections by the iranian government a senior administration official told us the sanctions weren t dead and that the u s was still working through some remaining issues but didn t specify any timetable a week earlier kerry wrote personally to zarif to assure him that the obama administration could waive new restrictions in a law passed by congress that would require visas for anyone who had visited iran to enter the united states the iranian government had objected that the visa requirement would violate the terms of the nuclear agreement read more bloomberg view,fake
never mind that iran continues to violate obama s lopsided deal senior obama administration officials are expressing concern that congressional attempts to tighten laws preventing terrorists from entering the united states could violate the iran nuclear agreement and prompt tehran to walk away from the agreement congress is considering measures that would tighten the visa waiver program to make it harder for potential terrorists to legally enter the united states by increasing restrictions on individuals who have travelled to countries with prominent terrorist organizations from bypassing security checks upon entering the united states iranian officials have in recent days repeatedly issued threatening statements to the obama administration saying that such moves would violate the nuclear agreement and the obama administration last week conveyed the iranian anger to american lawmakers stephen mull the state department official in charge of implementing the iran deal warned the senate foreign relations committee late last week that these congressional efforts could have a very negative impact on the deal under the revised law which came in the week of a deadly terrorist attack in california individuals who have travelled to iran a lead sponsor of global terrorism would no longer be eligible to participate in the visa waiver program which permits individuals from 38 partner nations to more easily enter the united states congress remains concerned that gaps in the program could prevent federal law enforcement officials from detecting terror tied individuals before they are granted entrance to u s soil however a portion of the iran nuclear deal mandates that the united states not take any action that could harm iran s economic relationships with other countries iranian officials maintain that the new restrictions violate this passage of the deal ali larijani the speaker of iran s parliament said last week that these tightened measures are aimed at harassment and that they blatantly violate the nuclear agreement according to comments carried by the iranian state controlled press larijani warned that this action will detonate the deal before it has even been implemented if the americans pursue the plan they will destroy an achievement with their own hands since it is against the nuclear deal and it will trouble them he warned rep chris murphy d conn echoed these concerns last week when he questioned mull during a senate hearing visa waiver reform efforts include a naming of iran such that individuals who have travelled to iran will no loner be eligible for the visa waiver program murphy said there has been a suggestion because there is an element of the agreement that obligates us to not to take steps that would stop economic relations between other nations and iran that we could perhaps be in jeopardy of breaching the agreement mull agreed with this assessment i have heard from very senior and secretary of state john kerry has as well from very senior officials of differing european allies of ours that it could have a very negative impact on the deal he said sources working with congress on the iran deal criticized the obama administration for attempting to stymie increased action on terrorism due to its desire to preserve the nuclear deal according to the obama administration s latest interpretation the nuclear deal allows iran to test ballistic missiles in violation of international law but does not allow congress to prevent terrorists from coming into the united states omri ceren the managing director of press and strategy at the israel project a d c based organization that works with journalists on middle east issues told the washington free beacon seyed araqchi iran s deputy foreign minister also warned that iran is prepared to take action against the united states for implementing visa restrictions iran s latest threat to break the deal comes amid numerous iranian provocations including multiple tests of advanced ballistic missiles acts prohibited under united nations security council resolutions the obama administration repeatedly said that while it does not agree with those launches they do not violate the nuclear deal via wfb,fake
a russian man wanted by the justice department on charges connected to hacking u s companies now claims the fbioffered him immunity in exchange for accepting responsibility for cyberattacks targeting former democratic nominee hillary clinton yevgeny nikulin the alleged hacker laid the claim to russian media thursday in a letter sent from a czech republic prison cell amid an international extradition battle currently underway between washington and moscow fbi agents promised mr nikulin money american citizenship and a free apartment for taking the fall over hacking mrs clinton s campaign he alleged in a letter published thursday by nastoyashchoe vremya a russian language website he was offered to falsely testify that he was cooperating in the attack on the democratic party defense attorney martin sadilek said thursday the associated press reported the fbi declined to comment mr nikulin was apprehended in prague last october pursuant to an internal arrest warrant and was subsequently charged by a federal grand jury in california with hacking linkedin dropbox and formspring three san francisco based internet companies he s wanted in both the u s and russia however and has remained for months in czech custody as authorities review requests from both countries fbi agents interviewed mr nikulin twice since his arrest he wrote and each time asked him to confess to hacking american political targets mr nikulin said he refused their initial request last november then received a second offer three months later fbi agents asked mr nikulin to admit hacking mrs clinton s presidential campaign democratic party computers and american polling stations on putin s orders he wrote in exchange he alleges the fbi said he d be extradited to the u s but ultimately given money citizenship and a free apartment washington times,fake
national security council aide craig deare was dismissed on friday after it was learned that he harshly criticized the president and his top aides deare s criticisms took place at an off the record roundtable and included attacking the president himself chief strategist stephen bannon and the president s daughter ivanka and son in law jared kushner both of whom serve as advisers he also claimed that the president had an embarrassing phone call with mexico s president enrique pena nieto deare served as the nsc s senior director for western hemisphere affairs and was previously the dean of administration at national defense university source free beacon,fake
washington dc foreigners aiming for temporary jobs at high tech u s companies will undergo a longer visa approval process after the trump administration announced it will temporarily suspend expedited applications for h 1b visas the u s citizenship and immigration services uscis said on friday that starting april 3 it will suspend premium processing for up to six months under this expedited procedure applicants can be eligible for visa approvals within 15 days instead of a regular review period that can last for up to a few months read more nbc,fake
the us embassy in lebanon went on lock down today after demonstrators gathered outside on sunday morning as pro palestinian protesters showed their outrage over u s president donald trump s provocative decision to recognize illegally occupied jerusalem as the zionist entity s capital city evetns turned violent after protesters hurled projectiles at police and also set fires to makeshift barricades erected on the street in front of the us embassy secure compound located north of beirut lebanon protesters also reportedly burned us israeli flags and an effigy of us president donald trump later angry protestors manged to pull down a portion of the front metal gates to the us embassy lebanese security forces deployed tear gas and water cannons to try and repel angry mobs reuters reports late on saturday arab foreign ministers meeting in cairo urged the united states to abandon its decision and said the move would spur violence throughout the region israel says that all of jerusalem is its capital palestinians want east jerusalem as the capital of a future independent state most countries consider east jerusalem which israel annexed after capturing it in a 1967 war to be occupied territory and say the status of the city should be left to be decided at future israeli palestinian talks the government of lebanon which hosts about 450 000 palestinian refugees has condemned trump s decision lebanese president michel aoun last week called the move a threat to regional stability the powerful iran backed lebanese shi ite group hezbollah on thursday said it backed calls for a new palestinian uprising against israel in response to the u s decision hezbollah leader sayyed hassan nasrallah also called for a protest against the decision in the hezbollah controlled southern suburbs of beirut on monday stay tuned for updatesread more palestine news at 21st century wire palestine filessupport 21wire subscribe become a member 21wire tv,fake
